#{"t_start": 1780441532.0330071, "env_id": "None"}
r,l,t
-271.2691,22,66.5495
-263.12598,35,66.739664
-256.70795,12,66.795784
-266.5965,14,66.868014
-262.57352,13,66.92699
-251.35307,13,66.986607
-271.54266,12,67.056857
-288.59277,21,67.160144
-312.4635,13,67.227225
-281.3639,16,67.307933
-250.5087,11,67.358695
-272.80884,17,67.443039
-267.00784,13,67.50226
-276.58313,11,67.55983
-261.93912,13,67.624868
-277.85132,13,67.69012
-301.15463,21,67.804015
-281.4909,13,67.887269
-306.95526,22,69.932479
-253.13492,17,70.012558
-290.12695,20,70.10275
-252.04532,15,70.171646
-270.73642,17,70.25686
-317.0099,10,70.3002
-253.23677,24,70.398381
-315.65027,24,70.508233
-262.34094,22,70.597483
-287.10797,15,70.669383
-252.79953,23,70.768422
-282.37067,12,70.831335
-257.51865,15,70.900789
-281.35977,25,71.008603
-255.768,9,71.048956
-256.02432,9,71.111458
-328.5391,21,71.278312
-266.64066,13,71.364019
-316.87405,18,71.492373
-272.13446,18,71.613201
-273.68964,20,71.791738
-332.12057,13,71.884653
-266.01266,15,71.973175
-288.67993,31,72.134941
-257.2074,19,72.235213
-268.19147,19,72.32102
-256.7644,12,72.388363
-258.8753,24,72.514297
-262.9391,27,74.80843
-257.1276,11,74.882972
-271.1407,11,74.950563
-256.6391,11,75.017463
-267.89706,20,75.113923
-322.98605,18,75.204241
-318.137,18,75.306419
-255.89796,13,75.378196
-277.23785,14,75.438111
-296.9325,15,75.506575
-266.41876,16,75.583953
-307.58746,34,75.738832
-308.18027,30,75.869282
-275.43338,28,75.996946
-267.95602,17,76.101651
-271.14816,26,76.263728
-255.85007,10,76.335633
-291.75327,14,76.435014
-292.83475,28,76.623061
-262.36597,24,76.726724
-282.15836,15,76.795826
-281.70126,18,76.882666
-306.64465,15,76.944267
-260.30978,25,77.05033
-267.56635,16,77.122013
-262.61444,20,77.217853
-308.84244,22,77.311177
-256.38568,14,79.462875
-272.38162,28,79.637313
-259.76724,32,79.83541
-272.5816,17,79.9392
-268.22528,21,80.071981
-283.4754,20,80.216172
-261.04694,13,80.275876
-313.64862,15,80.353201
-232.67468,26,80.464797
-265.36636,30,80.592195
-99.7474,12,80.645798
-267.01337,28,80.758495
-248.14003,25,80.876465
-287.19232,31,81.022782
-279.02133,28,81.153629
-317.75778,21,81.261313
-160.04846,20,81.353356
-248.53233,26,81.468881
-250.75455,18,81.552271
-267.30325,19,81.644484
-275.87033,8,81.683989
-252.81512,19,81.773588
-252.54951,24,81.881192
-276.90665,25,81.991793
-348.40417,20,84.056121
-312.49988,19,84.183058
-267.79715,20,84.293339
-265.12515,19,84.39593
-246.64648,31,84.540642
-311.848,13,84.613414
-336.9811,12,84.677734
-272.7853,22,84.786716
-255.50713,14,84.860723
-276.83908,16,84.938697
-315.1317,23,85.066628
-272.15964,36,85.248592
-281.24625,12,85.315386
-287.28668,23,85.430214
-254.1459,35,85.622446
-277.07138,28,85.76939
-337.4667,14,85.839577
-292.29498,13,85.897445
-308.4047,17,85.968914
-259.03287,26,86.094483
-255.83376,8,86.134198
-257.88498,24,86.242062
-279.9249,35,86.419895
-266.94382,16,86.4878
-270.13287,28,88.607562
-272.87006,22,88.744399
-258.39426,27,88.887283
-271.4107,24,89.058261
-261.9121,14,89.148358
-255.6133,16,89.234812
-269.49194,21,89.333857
-312.60187,20,89.441564
-279.37778,26,89.567266
-281.84985,29,89.732372
-272.87265,21,89.836829
-267.2547,18,89.943953
-251.67455,13,90.011468
-343.6507,17,90.116689
-255.27354,15,90.191556
-267.89133,22,90.303603
-271.8011,25,90.435691
-243.99951,27,90.571171
-259.52585,36,90.732695
-281.6944,29,90.876099
-254.18394,24,91.003223
-316.87677,17,91.082215
-271.10916,18,91.172767
-307.50684,17,91.250857
-268.01385,19,93.258677
-282.1701,16,93.348212
-131.66241,30,93.492097
-272.632,20,93.581827
-267.41043,12,93.635864
-287.59396,18,93.72506
-271.1155,11,93.775436
-265.98288,12,93.831698
-263.2805,22,93.938163
-251.07552,21,94.032273
-250.14449,9,94.073347
-289.66272,34,94.266485
-272.86948,12,94.323779
-245.82048,13,94.387487
-278.59637,20,94.489102
-313.9454,24,94.628168
-277.9809,18,94.718048
-261.8423,20,94.819733
-282.0007,16,94.902586
-273.24896,17,94.987498
-276.64285,14,95.056532
-209.76007,29,95.200902
-268.41122,20,95.312631
-291.5315,16,95.404313
-310.42743,25,95.543646
-326.47867,14,95.614717
-288.35883,21,95.709915
-279.74695,37,97.665025
-255.5649,6,97.695078
-256.73282,17,97.76853
-257.30197,15,97.837513
-265.59607,12,97.890897
-261.8203,16,97.965623
-259.85287,38,98.12739
-321.80023,14,98.185941
-256.36188,14,98.243355
-261.14618,16,98.308976
-269.20483,24,98.412075
-256.13016,13,98.468385
-284.47363,20,98.569459
-284.28082,33,98.717565
-271.21555,11,98.770205
-267.52286,17,98.84512
-291.21152,17,98.934
-271.1473,37,99.110451
-242.71638,17,99.189357
-306.71173,27,99.36784
-239.72957,27,99.498781
-267.6045,16,99.584623
-252.09337,19,99.668406
-258.87207,21,99.767505
-260.9937,11,99.821176
-268.73816,25,99.932363
-324.395,23,101.89803
-279.35767,28,102.049282
-171.78448,45,102.274269
-319.09808,17,102.356721
-255.6144,9,102.401437
-268.19907,42,102.596677
-259.7306,31,102.729459
-257.12518,21,102.827273
-276.0121,27,102.949369
-289.72668,31,103.093106
-276.34683,12,103.144337
-316.3695,12,103.196648
-330.60834,16,103.266568
-283.51746,21,103.358161
-33.973698,43,103.549921
-162.70735,20,103.646315
-303.87558,22,103.753022
-297.45758,19,103.863427
-262.75302,22,103.974673
-300.97537,31,104.175563
-265.86255,13,104.250722
-281.28418,19,106.50003
-265.73654,10,106.562487
-284.92224,23,106.678405
-278.1812,25,106.787434
-313.9277,22,106.89502
-256.18338,13,106.957979
-298.36337,19,107.062288
-278.72995,24,107.178704
-276.31888,38,107.364293
-260.8788,20,107.466736
-338.6467,21,107.583895
-255.02325,12,107.644665
-264.0446,24,107.755852
-185.24783,28,107.883426
-145.16269,20,107.970549
-253.1727,22,108.068659
-276.72577,20,108.163743
-247.46577,20,108.251583
-268.78555,21,108.353839
-101.013275,24,108.469423
-248.09915,31,108.61498
-272.82184,16,108.699073
-272.63608,60,111.088387
-278.4166,22,111.21699
-285.69864,27,111.34301
-297.2379,13,111.407601
-255.94225,14,111.471859
-291.90726,13,111.528523
